task,window,seed,model,family,n_train,cost_bps,mean_active,sharpe,maxdd,hit
T-book,6,0,RBF,classical,400,5.0,0.0035237185813419866,9.131721540848265,-0.01943455560318086,0.6984126984126984
T-book,6,0,QK,quantum,400,0.0,0.001828971366468903,5.176414635433099,-0.019825732463966073,0.6507936507936508
T-book,6,0,QK,quantum,400,5.0,0.0015234158109133477,4.3056921113181685,-0.02223117548992541,0.6190476190476191
T-book,6,0,VQC,quantum,400,0.0,0.00403552926743939,10.564044051319083,-0.015339132426593178,0.7301587301587301
T-book,6,0,VQC,quantum,400,5.0,0.0037577514896616118,9.817248215743781,-0.016255799093259846,0.6984126984126984
T-book,6,1,LIN,classical,400,0.0,0.0043841290434773385,10.31257822121025,-0.02037242158957187,0.7619047619047619
T-book,6,1,LIN,classical,400,5.0,0.0041050285143768095,9.576768546208454,-0.022205754922905198,0.7301587301587301
T-book,6,1,RBF,classical,400,0.0,0.003584930001115037,8.776783207894283,-0.0214888356145944,0.7301587301587301
T-book,6,1,RBF,classical,400,5.0,0.0033005384667235027,8.07492358226745,-0.022488835614594402,0.7301587301587301
T-book,6,1,QK,quantum,400,0.0,0.000322086713206769,0.7726014042128906,-0.06919058626212754,0.5555555555555556
T-book,6,1,QK,quantum,400,5.0,5.621369733375312e-05,0.13522163775398358,-0.07260725292879419,0.5079365079365079
T-book,6,1,VQC,quantum,400,0.0,0.0037713768341608813,11.610696189173794,-0.017357584670404172,0.7777777777777778
T-book,6,1,VQC,quantum,400,5.0,0.0034750805378645855,10.656577099967713,-0.01885758467040416,0.746031746031746
T-book,6,2,LIN,classical,400,0.0,0.004171888647434944,9.594012971633399,-0.03276315781991648,0.746031746031746
T-book,6,2,LIN,classical,400,5.0,0.003936438911985207,9.04325916836683,-0.034179824486583146,0.6825396825396826
T-book,6,2,RBF,classical,400,0.0,0.00447822697207399,10.783554839542488,-0.0199441680439533,0.746031746031746
T-book,6,2,RBF,classical,400,5.0,0.004187221681068699,10.071510490383169,-0.020777501377286633,0.7301587301587301
T-book,6,2,QK,quantum,400,0.0,0.001917523515083557,5.815928905229587,-0.04509087899614099,0.6349206349206349
T-book,6,2,QK,quantum,400,5.0,0.0016609097584698,5.043125247222853,-0.05009087899614099,0.6349206349206349
T-book,6,2,VQC,quantum,400,0.0,0.002135229851092152,5.018935769568009,-0.05310443271282617,0.6031746031746031
T-book,6,2,VQC,quantum,400,5.0,0.0018891981050604054,4.432158980452443,-0.06146518225529617,0.5714285714285714
T-book,7,0,LIN,classical,400,0.0,-0.0014125757191529144,-3.0582772680181995,-0.18837594832276133,0.49206349206349204
T-book,7,0,LIN,classical,400,5.0,-0.0017075492641264595,-3.7083939818374065,-0.19562594832276134,0.47619047619047616
T-book,7,0,RBF,classical,400,0.0,-0.0006051897266885821,-1.3002497993727378,-0.15940136103388988,0.5555555555555556
T-book,7,0,RBF,classical,400,5.0,-0.0008763537478526033,-1.887809199357095,-0.16598469436722318,0.5396825396825397
T-book,7,0,QK,quantum,400,0.0,-0.0013458637294894548,-3.4413139755767097,-0.14993310345190425,0.47619047619047616
T-book,7,0,QK,quantum,400,5.0,-0.0016381917718174975,-4.214465967093441,-0.15818310345190428,0.4444444444444444
T-book,7,0,VQC,quantum,400,0.0,-0.00035526507110002063,-0.6962465007826759,-0.1490145016898442,0.5396825396825397
T-book,7,0,VQC,quantum,400,5.0,-0.0006383338541688039,-1.2509495139320161,-0.15418116835651088,0.5238095238095238
T-book,7,1,LIN,classical,400,0.0,0.007240789824941634,14.90280542134692,-0.01036957650122255,0.8095238095238095
T-book,7,1,LIN,classical,400,5.0,0.007001371835523643,14.31999384167043,-0.012369576501222551,0.8095238095238095
T-book,7,1,RBF,classical,400,0.0,0.004936859839480643,11.704411248941991,-0.01124562578792003,0.8095238095238095
T-book,7,1,RBF,classical,400,5.0,0.004661727564348367,11.030919318297585,-0.011578959121253368,0.7777777777777778
T-book,7,1,QK,quantum,400,0.0,0.0016572003673210932,3.8927128056263536,-0.03761185932104316,0.6190476190476191
T-book,7,1,QK,quantum,400,5.0,0.0013675178276385531,3.2115616435476277,-0.03977852598770982,0.6031746031746031
T-book,7,1,VQC,quantum,400,0.0,0.005092610456560505,11.819125624006535,-0.025587235757673202,0.7936507936507936
T-book,7,1,VQC,quantum,400,5.0,0.004834673948623997,11.172031900141482,-0.026670569091006548,0.7777777777777778
T-book,7,2,LIN,classical,400,0.0,0.006618823555185115,13.458406391598706,-0.007306190201329978,0.8095238095238095
T-book,7,2,LIN,classical,400,5.0,0.0063278182641798245,12.793960310049064,-0.007659370111670086,0.7936507936507936
T-book,7,2,RBF,classical,400,0.0,0.005127308314349676,11.712882001592028,-0.01124562578792003,0.8253968253968254
T-book,7,2,RBF,classical,400,5.0,0.004827043764085127,11.01307594897893,-0.011578959121253368,0.7936507936507936
T-book,7,2,QK,quantum,400,0.0,0.0023371471970922764,6.725527620444781,-0.017964475429798156,0.6349206349206349
T-book,7,2,QK,quantum,400,5.0,0.0020143958743409534,5.778403823554238,-0.020297808763131486,0.6031746031746031
T-book,7,2,VQC,quantum,400,0.0,0.006067326384944482,14.192571673870082,-0.008023930834356485,0.8253968253968254
T-book,7,2,VQC,quantum,400,5.0,0.005794839612457708,13.527056637214184,-0.008357264167689837,0.8253968253968254
